group,condition,algorithm,grid,seed,success_rate,mean_undiscounted_return,mean_episode_length,policy_difference_from_optimal,train_stop,stopped_early,training_time_s
discount_factor,gamma=0.6,mc,A1_grid,1,1.0,-17.0,28.0,0.0,32636,True,17.048
discount_factor,gamma=0.6,q_learning,A1_grid,1,1.0,-17.0,28.0,0.0,2669,True,1.721
discount_factor,gamma=0.6,value_iteration,A1_grid,2,1.0,-17.0,28.0,0.0,30,,0.076
discount_factor,gamma=0.6,mc,A1_grid,2,1.0,-17.0,28.0,0.0,36285,True,18.75
discount_factor,gamma=0.6,q_learning,A1_grid,2,1.0,-17.0,28.0,0.0,2404,True,1.549
discount_factor,gamma=0.6,value_iteration,A1_grid,3,1.0,-17.0,28.0,0.0,30,,0.076
discount_factor,gamma=0.6,mc,A1_grid,3,1.0,-17.0,28.0,0.0,38754,True,19.926
discount_factor,gamma=0.6,q_learning,A1_grid,3,1.0,-17.0,28.0,0.0,2327,True,1.539
discount_factor,gamma=0.6,value_iteration,A1_grid,4,1.0,-17.0,28.0,0.0,30,,0.079
discount_factor,gamma=0.6,mc,A1_grid,4,1.0,-17.0,28.0,0.0,31519,True,16.505
discount_factor,gamma=0.6,q_learning,A1_grid,4,1.0,-17.0,28.0,0.0,2521,True,1.628
discount_factor,gamma=0.9,value_iteration,A1_grid,0,1.0,-17.0,28.0,0.0,30,,0.076
discount_factor,gamma=0.9,mc,A1_grid,0,1.0,-17.0,28.0,0.0,29034,True,15.576
discount_factor,gamma=0.9,q_learning,A1_grid,0,1.0,-17.0,28.0,0.0,5050,True,3.157
discount_factor,gamma=0.9,value_iteration,A1_grid,1,1.0,-17.0,28.0,0.0,30,,0.077
discount_factor,gamma=0.9,mc,A1_grid,1,1.0,-17.0,28.0,0.0,29576,True,15.83
discount_factor,gamma=0.9,q_learning,A1_grid,1,1.0,-17.0,28.0,0.0,4410,True,2.833
discount_factor,gamma=0.9,value_iteration,A1_grid,2,1.0,-17.0,28.0,0.0,30,,0.08
discount_factor,gamma=0.9,mc,A1_grid,2,1.0,-17.0,28.0,0.0,24687,True,13.24
discount_factor,gamma=0.9,q_learning,A1_grid,2,1.0,-17.0,28.0,0.0,4091,True,2.592
discount_factor,gamma=0.9,value_iteration,A1_grid,3,1.0,-17.0,28.0,0.0,30,,0.075
discount_factor,gamma=0.9,mc,A1_grid,3,1.0,-17.0,28.0,0.0,27626,True,14.757
discount_factor,gamma=0.9,q_learning,A1_grid,3,1.0,-17.0,28.0,0.0,4323,True,2.735
discount_factor,gamma=0.9,value_iteration,A1_grid,4,1.0,-17.0,28.0,0.0,30,,0.076
discount_factor,gamma=0.9,mc,A1_grid,4,1.0,-17.0,28.0,0.008547,41316,True,21.6
discount_factor,gamma=0.9,q_learning,A1_grid,4,1.0,-17.0,28.0,0.0,4506,True,2.854
stochasticity,sigma=0.02,value_iteration,A1_grid,0,1.0,-17.64,28.64,0.0,42,,0.106
stochasticity,sigma=0.02,mc,A1_grid,0,1.0,-17.66,28.66,0.08547,32189,True,17.178
stochasticity,sigma=0.02,q_learning,A1_grid,0,1.0,-17.62,28.62,0.08547,47984,True,26.173
stochasticity,sigma=0.02,value_iteration,A1_grid,1,1.0,-17.64,28.64,0.0,42,,0.107
stochasticity,sigma=0.02,mc,A1_grid,1,1.0,-17.7,28.7,0.094017,25382,True,13.654
stochasticity,sigma=0.02,q_learning,A1_grid,1,1.0,-17.74,28.74,0.08547,50938,True,26.965
stochasticity,sigma=0.02,value_iteration,A1_grid,2,1.0,-17.6,28.6,0.0,42,,0.104
stochasticity,sigma=0.02,mc,A1_grid,2,1.0,-17.62,28.62,0.136752,32055,True,16.935
stochasticity,sigma=0.02,q_learning,A1_grid,2,1.0,-17.74,28.74,0.059829,43252,True,23.225
stochasticity,sigma=0.02,value_iteration,A1_grid,3,1.0,-17.62,28.62,0.0,42,,0.107
stochasticity,sigma=0.02,mc,A1_grid,3,1.0,-17.64,28.64,0.102564,32938,True,17.251
stochasticity,sigma=0.02,q_learning,A1_grid,3,1.0,-17.78,28.78,0.08547,49733,True,26.46
stochasticity,sigma=0.02,value_iteration,A1_grid,4,1.0,-17.62,28.62,0.0,42,,0.106
stochasticity,sigma=0.02,mc,A1_grid,4,1.0,-19.5,30.5,0.136752,28755,True,15.362
stochasticity,sigma=0.02,q_learning,A1_grid,4,1.0,-17.72,28.72,0.051282,50764,True,27.069
stochasticity,sigma=0.5,value_iteration,A1_grid,0,1.0,-48.94,59.94,0.0,146,,0.365
stochasticity,sigma=0.5,mc,A1_grid,0,1.0,-49.14,60.14,0.08547,45343,True,30.977
stochasticity,sigma=0.5,q_learning,A1_grid,0,1.0,-49.18,60.18,0.017094,37022,True,26.183
stochasticity,sigma=0.5,value_iteration,A1_grid,1,1.0,-49.2,60.2,0.0,146,,0.36
stochasticity,sigma=0.5,mc,A1_grid,1,1.0,-50.42,61.42,0.068376,41845,True,29.048
stochasticity,sigma=0.5,q_learning,A1_grid,1,1.0,-49.24,60.24,0.017094,43352,True,30.289
stochasticity,sigma=0.5,value_iteration,A1_grid,2,1.0,-49.2,60.2,0.0,146,,0.369
